price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
9520580,14229,6,2,2,no,no,no,no,yes,0,no,furnished
5779491,9884,3,2,1,yes,no,no,no,no,2,no,unfurnished
9479493,12167,4,3,2,no,no,no,no,yes,0,no,furnished
8894725,10087,4,1,3,yes,no,no,no,yes,0,yes,semi-furnished
8450472,9931,1,1,3,yes,no,no,yes,yes,2,no,unfurnished
7052516,7589,5,2,2,yes,yes,no,no,yes,2,no,furnished
8519139,10158,6,,4,yes,no,no,no,no,0,no,unfurnished
8794727,8474,3,3,1,yes,no,no,no,yes,1,no,unfurnished
10682243,11030,6,1,1,no,yes,yes,no,yes,2,yes,unfurnished
9503058,12723,3,2,3,yes,no,no,no,no,0,no,semi-furnished
7717157,11045,3,1,1,yes,no,no,no,no,3,yes,furnished
5401719,5622,2,1,2,yes,no,yes,no,yes,1,no,furnished
4811384,4518,5,1,1,yes,no,no,yes,no,3,no,unfurnished
7988143,6120,2,4,4,yes,yes,yes,no,yes,0,yes,semi-furnished
5959655,7934,2,1,2,yes,no,no,no,no,0,no,semi-furnished
8513366,7671,6,1,2,yes,no,yes,no,no,2,no,unfurnished
8898305,11033,1,1,2,yes,yes,no,no,no,2,no,furnished
12146926,15026,1,2,2,yes,no,yes,no,no,2,no,furnished
8608127,12357,4,1,2,no,yes,no,no,yes,0,no,furnished
6905499,11724,1,1,3,yes,no,yes,no,yes,0,no,unfurnished
9319747,11111,2,4,3,yes,no,yes,no,yes,2,no,semi-furnished
7104863,8338,5,1,3,yes,no,no,no,no,1,no,furnished
8817076,,4,4,3,yes,no,yes,no,no,0,no,furnished
6047211,5624,1,3,4,yes,no,no,no,yes,1,no,unfurnished
6733367,8431,2,1,3,yes,no,no,yes,no,2,no,semi-furnished
7373791,9200,4,3,4,yes,no,yes,no,no,2,no,furnished
6280274,12451,1,2,4,yes,yes,no,yes,no,1,no,semi-furnished
5311251,8302,4,1,3,yes,no,no,no,no,0,no,unfurnished
10338886,10920,4,3,3,no,no,no,no,yes,3,no,unfurnished
9004552,11267,3,1,2,yes,no,no,no,yes,2,yes,semi-furnished
8404814,14323,5,2,3,yes,no,no,no,yes,2,no,semi-furnished
10044675,7559,6,,3,yes,yes,yes,no,yes,0,yes,semi-furnished
9157746,13525,4,2,1,no,no,no,no,yes,1,yes,semi-furnished
9094819,11378,2,3,4,yes,no,yes,yes,no,3,no,semi-furnished
8400514,6989,6,2,2,yes,no,no,no,no,2,no,furnished
7702311,5789,6,1,2,yes,no,no,no,no,1,no,unfurnished
9225010,12424,1,4,2,yes,yes,no,no,no,2,no,semi-furnished
8626933,7301,4,4,2,no,no,yes,no,yes,3,no,furnished
4276107,2020,3,1,1,yes,no,no,no,no,0,no,unfurnished
6170841,9015,4,1,2,yes,no,no,no,no,3,no,unfurnished
7649750,11665,6,1,3,yes,yes,no,no,yes,2,no,semi-furnished
5384610,4693,5,2,3,yes,no,no,no,yes,0,no,furnished
7964894,8459,4,3,4,yes,no,yes,no,no,0,no,semi-furnished
11412498,14101,3,2,1,yes,no,no,no,no,3,yes,furnished
8709089,11745,6,2,2,yes,no,yes,no,no,1,no,furnished
10006744,13142,3,4,2,no,no,no,no,no,2,no,furnished
8304381,9099,6,1,3,no,no,yes,no,no,2,no,unfurnished
5813971,10925,5,2,2,no,no,no,no,yes,2,no,semi-furnished
4382414,3179,2,4,2,yes,no,no,no,yes,1,no,unfurnished
7122953,15037,1,3,3,yes,no,no,no,yes,0,no,furnished
9872278,11940,3,3,2,yes,no,no,no,yes,0,yes,furnished
7422448,,6,1,2,yes,no,no,no,yes,3,no,semi-furnished
8779508,7636,4,4,3,yes,yes,no,no,yes,2,yes,semi-furnished
3584819,2944,3,1,2,yes,no,no,no,no,2,no,unfurnished
6467604,,3,3,2,yes,yes,yes,no,no,2,no,unfurnished
4788691,9778,1,1,1,yes,no,no,no,no,1,no,unfurnished
6360121,5328,1,2,3,yes,no,no,no,yes,1,yes,unfurnished
5917285,4937,4,1,3,yes,no,no,no,no,1,no,furnished
10503737,15560,3,1,3,yes,no,yes,no,no,0,no,furnished
7476193,8776,4,1,1,yes,yes,yes,no,no,1,no,unfurnished
5946541,3628,4,1,3,yes,no,yes,no,yes,0,yes,unfurnished
9957923,15651,2,1,3,yes,no,yes,no,no,0,yes,furnished
6877071,3657,1,4,3,yes,no,yes,no,no,1,no,semi-furnished
13033780,16113,3,2,3,yes,yes,yes,no,yes,3,no,unfurnished
5574193,2609,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
8960260,11342,3,,3,yes,no,no,no,no,0,no,semi-furnished
6415397,7232,5,1,2,yes,no,no,no,yes,2,no,furnished
9888273,12286,4,4,4,yes,no,no,no,no,1,yes,unfurnished
7292552,11519,5,1,2,yes,no,no,no,yes,1,yes,unfurnished
10477036,13453,3,,1,yes,no,no,no,no,1,no,semi-furnished
6933052,7250,3,1,1,yes,no,no,no,no,0,no,unfurnished
9719345,12473,2,2,2,yes,no,yes,no,no,0,yes,furnished
8561264,12480,4,2,4,yes,no,no,no,no,0,no,semi-furnished
9373380,10720,5,2,2,yes,no,no,no,no,1,no,furnished
5132201,4482,2,1,4,no,yes,yes,no,yes,0,no,semi-furnished
6332519,3493,1,4,3,yes,yes,no,no,no,0,no,furnished
5472109,2285,5,3,3,yes,no,no,yes,no,1,no,furnished
5570596,4729,6,2,1,yes,no,no,no,no,1,no,unfurnished
4953406,5737,2,4,1,yes,yes,no,no,no,1,no,unfurnished
11002683,13920,2,,2,yes,yes,yes,yes,no,3,no,furnished
10955610,13327,3,2,2,no,no,no,no,no,1,yes,semi-furnished
7558582,6179,4,1,3,yes,no,yes,no,no,1,yes,unfurnished
5302221,7272,1,2,2,yes,no,no,no,no,2,no,semi-furnished
8107316,12372,2,3,3,yes,no,no,no,no,1,no,unfurnished
5153655,,5,1,3,no,yes,no,no,no,1,yes,unfurnished
6628647,9671,,,2,yes,no,yes,no,no,1,no,semi-furnished
10784388,13012,6,1,2,no,no,yes,no,yes,0,no,semi-furnished
7263246,,4,1,2,yes,yes,no,no,yes,1,no,furnished
7048681,9422,4,1,2,yes,no,no,yes,no,0,no,semi-furnished
8468127,13175,5,1,3,yes,yes,no,no,no,1,no,furnished
8131739,9133,3,3,2,no,no,no,no,yes,0,no,semi-furnished
10740650,16042,4,2,2,yes,no,yes,no,no,1,no,semi-furnished
7826076,14415,2,2,3,yes,yes,no,no,no,0,no,semi-furnished
9107710,10154,5,1,3,yes,no,yes,no,yes,1,no,unfurnished
4245476,2474,2,1,2,yes,no,no,no,yes,1,no,semi-furnished
10054758,9978,5,2,2,yes,no,no,no,no,3,yes,semi-furnished
8585962,13153,3,2,3,yes,no,no,no,no,1,yes,unfurnished
12047523,14300,6,2,1,no,no,no,no,no,0,no,furnished
7022126,8509,3,2,3,no,no,no,no,no,1,no,furnished
10045543,12899,5,3,2,yes,no,no,no,no,2,no,unfurnished
8812471,14893,5,1,3,yes,yes,no,no,yes,1,no,furnished
9173915,13813,6,2,2,yes,no,no,no,no,2,no,semi-furnished
8440037,14021,2,3,3,yes,no,yes,no,yes,1,yes,unfurnished
5101422,2304,3,2,2,yes,no,yes,no,no,2,no,unfurnished
5497130,5274,4,1,3,no,no,yes,no,no,2,no,unfurnished
8510400,10501,1,2,2,yes,yes,no,no,no,2,no,furnished
6891025,15821,2,3,2,yes,no,yes,no,no,2,no,unfurnished
5315452,5887,5,4,2,yes,no,no,no,no,0,no,unfurnished
7764388,,4,2,3,yes,no,no,no,no,3,no,semi-furnished
9389644,13910,1,1,2,yes,no,yes,no,no,0,yes,furnished
7080962,7070,2,3,4,yes,no,yes,no,yes,0,no,semi-furnished
7664356,15414,6,2,2,yes,no,yes,no,no,3,no,unfurnished
11678275,14964,1,4,1,yes,no,no,no,no,2,no,unfurnished
8752247,8150,5,2,1,yes,yes,yes,no,no,2,yes,unfurnished
5172422,2351,3,1,2,yes,no,no,no,no,0,yes,unfurnished
4433779,7815,1,2,2,no,no,no,no,no,3,no,unfurnished
6842935,12481,2,1,1,yes,no,no,no,no,0,no,unfurnished
7052710,10114,2,1,2,no,no,no,yes,no,2,no,furnished
8246798,4397,6,2,2,yes,no,no,no,yes,1,yes,furnished
8363527,12453,1,1,4,yes,no,no,no,no,2,no,semi-furnished
5301981,3843,5,1,3,yes,no,no,no,no,2,no,furnished
9263101,12325,1,1,3,yes,no,no,no,no,2,no,furnished
11927255,15658,6,2,2,no,yes,yes,no,no,0,yes,semi-furnished
8748587,13520,1,2,1,yes,no,no,no,no,2,yes,furnished
7921818,7543,2,3,1,yes,yes,yes,no,no,1,no,semi-furnished
6696173,9100,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
8657387,11264,4,3,4,no,no,yes,no,no,0,no,furnished
7127502,9457,1,2,2,yes,no,no,no,no,0,no,furnished
6958835,11706,1,1,4,yes,no,no,no,no,1,no,unfurnished
5680751,9882,4,2,1,yes,no,no,no,yes,2,no,unfurnished
7883735,7645,3,2,3,yes,no,no,no,no,1,no,furnished
8815113,14850,6,1,4,yes,no,yes,no,no,2,no,semi-furnished
7418536,5906,4,3,3,yes,no,no,no,yes,0,no,unfurnished
6557297,9248,4,2,2,yes,yes,yes,no,no,2,no,semi-furnished
6648608,8432,3,3,4,yes,no,yes,no,yes,2,no,furnished
5783482,3031,3,2,2,yes,no,yes,no,yes,2,yes,unfurnished
7423823,,5,2,4,yes,no,no,no,no,1,no,furnished
7318432,10417,3,1,4,yes,no,no,no,yes,1,no,unfurnished
4338605,2947,4,1,2,yes,no,no,no,no,2,no,unfurnished
6424594,4726,6,2,4,yes,yes,no,yes,no,1,no,unfurnished
6053332,7060,3,2,1,yes,no,yes,no,no,2,no,furnished
6845526,9396,1,2,2,yes,no,no,no,no,2,no,unfurnished
5341108,1896,6,2,3,yes,no,yes,no,yes,0,no,unfurnished
7689848,7474,6,1,1,yes,no,no,no,yes,2,no,semi-furnished
6590205,4759,5,3,4,yes,no,yes,no,no,2,no,unfurnished
10072110,11803,6,1,1,no,no,yes,no,no,2,no,furnished
6467400,4576,1,4,2,no,no,no,no,no,3,no,semi-furnished
6723617,9318,4,4,1,yes,yes,no,no,no,1,no,furnished
10281607,10989,5,3,2,yes,yes,no,no,yes,2,no,unfurnished
9056956,10662,4,,3,no,no,no,no,no,2,no,furnished
7467787,10130,1,1,1,yes,no,yes,no,yes,1,yes,unfurnished
11512575,14938,2,1,2,yes,no,no,no,yes,1,no,furnished
11329176,15900,4,2,1,yes,no,no,no,no,2,no,semi-furnished
6022802,5288,4,2,1,yes,no,yes,no,no,2,yes,semi-furnished
7352928,5620,6,2,2,yes,no,yes,no,yes,2,no,semi-furnished
5582760,4921,1,4,2,yes,yes,no,no,no,0,no,furnished
8273564,,3,2,4,yes,yes,no,yes,no,2,no,semi-furnished
6177388,1962,6,1,1,yes,no,no,no,no,2,yes,semi-furnished
7802840,8095,3,1,4,yes,yes,no,no,yes,2,no,furnished
8933814,8487,5,4,2,yes,yes,no,no,yes,2,yes,unfurnished
5621782,,5,1,3,yes,no,yes,no,no,2,yes,semi-furnished
8020860,11420,5,,2,yes,no,no,no,no,2,no,semi-furnished
8969708,13812,3,2,2,yes,no,yes,no,no,1,no,semi-furnished
7280827,10180,6,3,1,yes,no,no,no,yes,2,no,unfurnished
5288052,6473,4,1,3,yes,yes,no,no,no,1,yes,unfurnished
6498558,6959,4,1,2,yes,no,no,no,yes,0,no,unfurnished
5948554,4306,5,,2,no,yes,no,no,yes,3,no,semi-furnished
7799863,11297,4,1,2,yes,no,no,no,yes,2,no,unfurnished
4123431,2453,3,1,1,yes,no,yes,no,no,2,no,unfurnished
7865250,9363,5,1,2,yes,no,yes,no,no,2,yes,furnished
9607181,9719,5,2,4,yes,no,yes,no,yes,0,yes,unfurnished
6148987,6692,3,4,1,yes,no,no,no,no,1,no,unfurnished
8062230,9227,6,2,3,yes,no,no,no,yes,2,no,unfurnished
5859939,4720,2,2,3,yes,no,no,no,yes,0,no,furnished
8294942,14741,,2,1,yes,no,yes,no,no,2,no,semi-furnished
8143724,7110,6,4,1,yes,yes,no,no,yes,2,no,unfurnished
6324462,5034,1,1,1,yes,no,yes,no,no,2,yes,furnished
9758810,11747,4,1,4,yes,no,yes,no,no,0,no,semi-furnished
5297886,4654,3,1,3,yes,no,no,no,no,0,yes,furnished
9272486,10378,6,1,2,yes,no,yes,no,yes,1,no,semi-furnished
7325990,6980,4,1,4,yes,no,yes,no,yes,0,no,unfurnished
5975259,4855,5,2,4,yes,no,yes,no,no,1,no,semi-furnished
8600358,15833,3,1,2,yes,no,no,no,no,1,no,unfurnished
8182942,3850,3,4,2,yes,no,yes,no,no,0,yes,unfurnished
9850878,15524,1,2,4,yes,no,yes,no,no,0,no,unfurnished
8125903,10224,3,2,1,no,yes,no,no,no,0,no,unfurnished
6383373,6388,4,1,2,yes,no,no,no,no,1,yes,semi-furnished
6393314,6159,2,2,2,no,yes,yes,no,no,0,no,semi-furnished
9512305,14271,4,4,3,yes,no,no,no,no,3,no,unfurnished
9158942,12848,5,1,3,yes,no,yes,no,yes,3,no,unfurnished
5444799,13680,4,2,2,yes,no,no,no,no,1,no,unfurnished
7416357,11798,2,1,1,yes,no,no,no,no,2,yes,furnished
9123889,14255,6,2,2,yes,no,no,no,yes,0,no,furnished
6576730,4007,6,2,1,yes,no,no,no,no,1,yes,furnished
7197618,10094,4,2,1,yes,no,no,no,no,3,no,unfurnished
6186081,7635,1,3,1,yes,no,yes,no,no,2,yes,unfurnished
5196373,13442,1,1,1,no,no,no,no,no,1,no,semi-furnished
8260521,13791,6,4,2,yes,no,yes,no,no,1,no,unfurnished
5844596,3520,1,4,1,yes,no,yes,no,no,3,no,unfurnished
5079557,4403,2,4,3,yes,no,no,no,yes,0,no,unfurnished
10186066,12993,4,3,4,yes,yes,yes,no,yes,0,no,furnished
7806846,9255,5,1,2,yes,no,yes,no,no,2,no,semi-furnished
6306883,10454,1,1,1,yes,no,no,no,no,2,no,unfurnished
6856845,9366,4,1,1,yes,yes,no,no,no,0,no,furnished
6781441,4454,4,2,3,yes,no,yes,no,no,2,no,unfurnished
6961086,5710,6,4,2,yes,no,no,no,yes,2,no,semi-furnished
9351261,13006,2,1,1,yes,no,yes,no,no,0,yes,unfurnished
12568324,13182,3,3,4,yes,no,yes,no,no,0,no,semi-furnished
7259493,7639,3,2,1,yes,no,no,no,no,0,no,furnished
7841696,9062,1,1,3,yes,no,yes,no,no,2,no,semi-furnished
7379611,9781,3,1,2,yes,no,no,yes,no,2,no,furnished
8592185,11131,6,1,3,yes,no,yes,no,no,3,no,semi-furnished
6560058,11785,3,2,2,no,no,yes,no,no,2,no,furnished
7517453,7759,3,1,2,yes,no,no,no,yes,1,no,semi-furnished
7095311,7199,6,1,4,yes,no,no,no,no,1,yes,unfurnished
8743007,12743,1,1,4,yes,yes,no,no,yes,2,no,furnished
8938487,13799,2,3,4,no,no,yes,no,no,1,no,semi-furnished
7357149,3099,5,4,3,yes,no,yes,no,no,2,no,furnished
5129259,4173,1,4,1,yes,no,no,no,no,1,no,semi-furnished
6636891,7764,4,3,1,yes,no,no,no,yes,1,no,unfurnished
10391863,,6,1,2,yes,no,no,no,yes,1,no,unfurnished
7773514,4321,4,2,3,yes,yes,yes,no,no,2,no,unfurnished
7235373,11441,3,,4,yes,no,yes,no,no,0,yes,unfurnished
5135115,2346,4,4,3,yes,yes,no,no,no,1,yes,semi-furnished
7232578,4280,5,1,3,no,no,no,no,yes,3,no,furnished
7532180,13088,6,2,3,yes,no,no,no,no,1,no,unfurnished
6364243,2997,5,3,1,yes,yes,yes,no,yes,3,no,unfurnished
6316352,3603,4,2,1,yes,no,no,no,no,0,yes,furnished
9811737,9445,6,2,3,yes,no,no,no,yes,1,yes,semi-furnished
9482050,14104,2,1,1,yes,no,no,no,yes,2,no,unfurnished
6221086,2239,4,2,4,yes,no,no,no,no,1,no,semi-furnished
5610159,5965,5,1,3,yes,no,no,no,no,1,yes,unfurnished
7711325,5706,1,3,2,yes,no,yes,no,no,0,no,furnished
7244251,6932,3,2,3,yes,no,yes,no,no,2,no,unfurnished
4364045,2428,2,1,2,yes,no,no,no,no,2,no,furnished
5391355,4928,3,2,3,yes,no,no,no,no,0,no,unfurnished
7274151,10206,4,2,1,yes,no,yes,no,no,3,no,semi-furnished
7856166,9254,1,1,2,yes,no,no,no,yes,1,yes,semi-furnished
7614742,8152,4,1,1,no,no,yes,no,no,0,no,unfurnished
10584805,8578,6,3,2,yes,yes,yes,no,no,3,no,semi-furnished
11000005,15436,3,1,1,yes,no,yes,no,no,1,no,semi-furnished
8097972,6522,1,4,2,yes,no,no,no,no,3,no,furnished
7337450,7414,6,1,1,yes,no,no,no,no,3,yes,unfurnished
8857003,15526,5,3,2,yes,no,no,no,no,0,no,unfurnished
9241366,10800,2,1,1,yes,no,no,no,yes,2,no,furnished
6670796,3591,4,4,4,yes,no,no,no,yes,2,no,furnished
5937598,5718,2,2,4,yes,no,no,yes,yes,1,no,semi-furnished
6405410,1737,5,3,1,yes,no,yes,no,no,2,yes,furnished
7143400,13902,2,2,2,yes,no,no,no,no,1,no,semi-furnished
7203777,8800,2,3,4,yes,no,no,no,no,2,no,semi-furnished
5899951,11210,3,2,2,no,yes,no,no,no,0,no,unfurnished
6792202,9190,2,1,1,yes,no,no,no,no,0,no,furnished
6355507,5830,4,1,3,yes,no,no,no,no,0,no,semi-furnished
10207171,15282,3,3,1,yes,yes,no,no,yes,2,no,semi-furnished
6737764,6412,2,2,1,yes,yes,no,no,no,2,no,furnished
6198472,7473,6,2,2,yes,yes,no,no,no,0,no,semi-furnished
4557726,2931,2,1,2,yes,no,no,no,no,0,no,furnished
13882876,14833,6,3,3,yes,yes,yes,no,yes,0,no,furnished
6155754,9597,2,3,4,yes,no,no,no,no,3,no,semi-furnished
7523480,5449,6,4,4,yes,no,no,no,yes,2,no,semi-furnished
8220757,11514,2,2,3,no,no,no,no,no,1,no,unfurnished
4896269,3303,2,2,4,yes,no,no,no,no,0,no,semi-furnished
10049596,14509,4,1,3,yes,yes,no,no,yes,2,no,unfurnished
9522762,9961,1,4,1,yes,no,no,no,yes,1,no,unfurnished
8429288,7242,1,1,4,yes,yes,yes,no,no,2,no,furnished
3906321,3039,1,3,1,yes,no,no,no,no,0,no,unfurnished
5126850,1779,6,1,3,yes,no,no,no,no,2,yes,unfurnished
6118537,5151,2,2,2,yes,no,no,no,yes,0,no,unfurnished
8367752,6531,6,1,4,yes,yes,yes,no,no,2,no,unfurnished
7336185,4051,3,2,1,yes,no,yes,no,no,1,yes,furnished
9636520,15147,4,3,3,yes,no,no,no,no,2,no,furnished
4567786,2309,1,1,2,yes,yes,yes,no,yes,0,no,furnished
10300647,14451,5,2,3,yes,no,no,no,yes,2,no,semi-furnished
9904795,12232,4,3,2,yes,yes,yes,no,no,1,no,furnished
6022349,,5,1,1,yes,no,no,no,no,3,no,semi-furnished
8285317,10526,1,1,1,yes,yes,yes,no,yes,1,no,furnished
9461333,13972,1,1,2,yes,no,no,no,no,1,yes,semi-furnished
7992874,6640,5,3,2,yes,no,no,no,no,0,no,furnished
5809347,9550,2,1,1,yes,no,no,no,no,0,no,unfurnished
7223946,5104,5,1,3,yes,no,yes,no,no,1,no,unfurnished
4833194,1720,1,2,4,no,no,no,no,no,3,no,furnished
6680054,9230,6,,1,yes,yes,yes,no,no,2,no,semi-furnished
9408378,15902,6,2,1,yes,no,yes,no,no,2,no,unfurnished
9603240,12802,6,1,2,yes,no,no,no,no,0,no,semi-furnished
6615203,10373,1,1,3,yes,yes,yes,no,no,0,no,furnished
8775569,5699,3,4,2,yes,no,yes,no,no,3,yes,furnished
8367679,11656,4,1,2,yes,yes,no,no,yes,1,no,unfurnished
7010981,3419,3,2,2,yes,no,yes,no,yes,2,yes,unfurnished
8568988,6748,6,4,3,yes,no,yes,no,no,1,no,furnished
8407731,12592,1,1,2,yes,no,no,no,no,2,no,unfurnished
6273555,9293,6,1,2,yes,no,no,no,no,2,no,semi-furnished
4752919,4912,3,1,1,yes,yes,no,no,no,2,yes,furnished
8158024,10283,3,3,2,no,no,no,no,yes,0,no,furnished
12619343,15649,5,2,2,yes,no,yes,no,no,3,yes,unfurnished
5354486,6922,5,2,2,yes,no,no,no,no,2,no,unfurnished
5642087,3850,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
12776361,15455,3,1,2,yes,no,yes,no,yes,0,yes,furnished
5903640,1789,6,2,2,yes,no,yes,no,no,3,no,unfurnished
11089624,13487,5,4,4,yes,no,yes,no,no,2,no,semi-furnished
12743620,14148,4,3,3,yes,no,yes,yes,no,0,yes,semi-furnished
5352008,3359,3,1,2,yes,yes,no,no,yes,0,yes,semi-furnished
7984313,10439,2,1,2,yes,no,no,no,yes,3,yes,semi-furnished
8575006,10976,2,2,3,no,no,no,no,yes,1,no,unfurnished
6833205,8097,2,3,1,yes,yes,no,no,no,2,no,furnished
5740400,9222,2,2,1,yes,no,no,no,no,1,no,semi-furnished
5445879,3947,6,1,4,yes,no,yes,no,no,0,no,unfurnished
8627134,13065,5,1,4,yes,no,no,no,no,0,no,semi-furnished
8662675,12790,1,1,2,yes,no,no,no,no,0,no,furnished
6519099,7492,2,1,1,yes,yes,no,yes,yes,0,yes,semi-furnished
8272298,7090,,,2,yes,no,no,no,no,0,no,unfurnished
7348516,13739,1,1,2,yes,no,yes,no,no,0,yes,furnished
9011103,7265,2,4,3,yes,no,no,no,yes,2,no,furnished
4130319,3153,2,1,2,yes,no,no,no,no,1,no,semi-furnished
5407314,8174,4,1,3,yes,no,no,no,no,0,no,semi-furnished
10133293,10860,4,1,3,yes,yes,yes,no,yes,0,yes,unfurnished
4910293,4832,1,2,2,yes,no,no,no,no,2,no,unfurnished
6704048,5931,6,1,2,yes,no,yes,no,no,2,no,furnished
8685545,,5,2,3,yes,no,no,no,yes,2,no,semi-furnished
12609665,13660,5,2,2,yes,yes,yes,no,no,2,no,semi-furnished
4920591,,1,4,2,yes,no,yes,no,no,1,no,furnished
11258851,14051,3,2,4,yes,no,no,no,no,3,yes,semi-furnished
